tick,read_write_time_ms,mem_usage_mb,chunks_loaded,chunks_unloaded,used_cells,used_cells_bbox_w,used_cells_bbox_h,player_x,player_y,savefile_size
1,8.163,55.1877470016479,16,0,4096,64,64,16.0,16.0,1589248
2,0.048,55.912712097168,0,0,4096,64,64,16.0,16.0,1589248
3,0.02,55.913857460022,0,0,4096,64,64,16.0,16.0,1589248
4,0.01,55.9150333404541,0,0,4096,64,64,16.0,16.0,1589248
5,0.03,55.9136152267456,0,0,4096,64,64,16.0,16.0,1589248
6,0.011,55.9147300720215,0,0,4096,64,64,20.7140464782715,20.7140464782715,1589248
7,0.03,55.9137392044067,0,0,4096,64,64,25.428092956543,25.428092956543,1589248
8,0.049,55.9137401580811,0,0,4096,64,64,30.1421394348145,30.1421394348145,1589248
9,0.046,55.9137411117554,0,0,4096,64,64,34.8561859130859,34.8561859130859,1589248
10,0.056,55.9137420654297,0,0,4096,64,64,39.5702323913574,39.5702323913574,1589248
11,0.048,55.913743019104,0,0,4096,64,64,44.2842788696289,44.2842788696289,1589248
12,0.04,55.9139881134033,0,0,4096,64,64,48.9983253479004,48.9983253479004,1589248
13,0.039,55.9139890670776,0,0,4096,64,64,53.7123718261719,53.7123718261719,1589248
14,0.072,55.913990020752,0,0,4096,64,64,58.4264183044434,58.4264183044434,1589248
15,0.048,55.9139909744263,0,0,4096,64,64,63.1404647827148,63.1404647827148,1589248
16,0.043,55.9139919281006,0,0,4096,64,64,67.8545074462891,67.8545074462891,1589248
17,0.041,55.9139928817749,0,0,4096,64,64,72.5685501098633,72.5685501098633,1589248
18,0.045,55.9139938354492,0,0,4096,64,64,77.2825927734375,77.2825927734375,1589248
19,0.042,55.9139947891235,0,0,4096,64,64,81.9966354370117,81.9966354370117,1589248
20,0.04,55.9139957427979,0,0,4096,64,64,86.7106781005859,86.7106781005859,1589248
21,0.039,55.9139966964722,0,0,4096,64,64,91.4247207641602,91.4247207641602,1589248
22,0.044,55.9139976501465,0,0,4096,64,64,96.1387634277344,96.1387634277344,1589248
23,0.043,55.9144868850708,0,0,4096,64,64,100.852806091309,100.852806091309,1589248
24,0.057,55.9144878387451,0,0,4096,64,64,105.566848754883,105.566848754883,1589248
25,0.057,55.9144887924194,0,0,4096,64,64,110.280891418457,110.280891418457,1589248
26,0.041,55.9144897460938,0,0,4096,64,64,114.994934082031,114.994934082031,1589248
27,0.057,55.9144906997681,0,0,4096,64,64,119.708976745605,119.708976745605,1589248
28,0.075,55.9144916534424,0,0,4096,64,64,124.42301940918,124.42301940918,1589248
29,0.04,55.9144926071167,0,0,4096,64,64,129.137069702148,129.137069702148,1589248
30,0.038,55.914493560791,0,0,4096,64,64,133.851119995117,133.851119995117,1589248
31,0.055,55.9144945144653,0,0,4096,64,64,138.565170288086,138.565170288086,1589248
32,0.045,55.9144954681396,0,0,4096,64,64,143.279220581055,143.279220581055,1589248
33,0.048,55.914496421814,0,0,4096,64,64,147.993270874023,147.993270874023,1589248
34,0.058,55.9144973754883,0,0,4096,64,64,152.707321166992,152.707321166992,1589248
35,0.044,55.9144983291626,0,0,4096,64,64,157.421371459961,157.421371459961,1589248
36,0.062,55.9144992828369,0,0,4096,64,64,162.13542175293,162.13542175293,1589248
37,0.063,55.9145002365112,0,0,4096,64,64,166.849472045898,166.849472045898,1589248
38,0.059,55.9145011901855,0,0,4096,64,64,171.563522338867,171.563522338867,1589248
39,0.051,55.9145021438599,0,0,4096,64,64,176.277572631836,176.277572631836,1589248
40,0.057,55.9145030975342,0,0,4096,64,64,180.991622924805,180.991622924805,1589248
41,0.041,55.9145040512085,0,0,4096,64,64,185.705673217773,185.705673217773,1589248
